"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"Maioria";"";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"Solidaried";"";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"PROS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36763";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"Cidadania";"https://dadosabertos.camara.leg.br/api/v2/partidos/37905";"Sim"
"2314962-33";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2314962-33";"PLEN";"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 7, de 2022, adotado pelo Relator da Comissão de Seguridade Social e Família. Sim: 383; não: 3; total: 386.";"GOV.";"";"Sim"
