"id";"uri";"data";"dataHoraRegistro";"idOrgao";"uriOrgao";"siglaOrgao";"idEvento";"uriEvento";"aprovacao";"votosSim";"votosNao";"votosOutros";"descricao";"ultimaAberturaVotacao_dataHoraRegistro";"ultimaAberturaVotacao_descricao";"ultimaApresentacaoProposicao_dataHoraRegistro";"ultimaApresentacaoProposicao_descricao";"ultimaApresentacaoProposicao_idProposicao";"ultimaApresentacaoProposicao_uriProposicao"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"2022-02-02T19:58:52";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64635";"https://dadosabertos.camara.leg.br/api/v2/eventos/64635";"1";"0";"0";"0";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2022-02-02T19:58:34";"Votação da Redação Final.";"2022-02-02T19:24:34";"Parecer às Emendas do Senado, pela relatora, Dep. Soraya Santos (PL-RJ), pela Comissão de Seguridade Social e Família, que conclui pela aprovação das Emendas do Senado Federal nºs 1, 2, 4 e 5.";"2313950";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313950"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"2022-02-02T19:10:58";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64635";"https://dadosabertos.camara.leg.br/api/v2/eventos/64635";"0";"0";"0";"0";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2022-02-02T19:10:35";"Votação das Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020, com parecer pela rejeição.";"2022-02-02T19:09:03";"Parecer às Emendas do Senado proferido pelo Relator, Dep. Hugo Leal (PSD-RJ), pela Comissão de Viação e Transportes, que conclui pela rejeição de todas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2313947";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313947"
"2276475-96";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-96";"2022-02-02";"2022-02-02T19:20:51";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64635";"https://dadosabertos.camara.leg.br/api/v2/eventos/64635";"0";"0";"0";"0";"Rejeitado o Requerimento.";"";"";"";"Apresentação da Emenda/Substitutivo do Senado n. 1208/2021, pelo Senado Federal, que ""Emendas do Senado ao Projeto de Lei nº 1.208, de 2021, que “Cria o Programa Prioritário Pró-Pesquisa Covid-19 enquanto perdurar a emergência de saúde pública decorrente da pandemia da Covid-19”"".";"2295258";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2295258"
"2276475-107";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-107";"2022-02-02";"2022-02-02T19:40:26";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64635";"https://dadosabertos.camara.leg.br/api/v2/eventos/64635";"1";"0";"0";"0";"Aprovadas as Emendas do Senado Federal nºs 1, 2, 4 e 5 ao Projeto de Lei nº 1.208, de 2021, ressalvados os destaques.";"2022-02-02T19:38:58";"Votação das Emendas do Senado Federal, com parecer pela aprovação, ressalvados os destaques.";"2022-02-02T19:24:34";"Parecer às Emendas do Senado, pela relatora, Dep. Soraya Santos (PL-RJ), pela Comissão de Seguridade Social e Família, que conclui pela aprovação das Emendas do Senado Federal nºs 1, 2, 4 e 5.";"2313950";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313950"
"2276475-111";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-111";"2022-02-02";"2022-02-02T19:49:36";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64635";"https://dadosabertos.camara.leg.br/api/v2/eventos/64635";"1";"0";"0";"0";"Aprovada a Emenda do Senado Federal n° 2.";"2022-02-02T19:41:39";"Votação do DTQ 1: NOVO: Emenda do Senado Federal nº 2 apresentada ao PL 1208/21, com vistas à sua rejeição. (art. 161, II).";"2022-02-02T19:24:34";"Parecer às Emendas do Senado, pela relatora, Dep. Soraya Santos (PL-RJ), pela Comissão de Seguridade Social e Família, que conclui pela aprovação das Emendas do Senado Federal nºs 1, 2, 4 e 5.";"2313950";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313950"
"2276475-114";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-114";"2022-02-02";"2022-02-02T19:58:18";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64635";"https://dadosabertos.camara.leg.br/api/v2/eventos/64635";"1";"0";"0";"0";"Aprovada a Emenda do Senado Federal n° 5.";"2022-02-02T19:50:08";"Votação do DTQ 2: PSOL: Emenda do Senado Federal nº 5, apresentada ao Projeto de Lei 1.208, de 2021, para fins de sua rejeição. (art. 161, II).";"2022-02-02T19:24:34";"Parecer às Emendas do Senado, pela relatora, Dep. Soraya Santos (PL-RJ), pela Comissão de Seguridade Social e Família, que conclui pela aprovação das Emendas do Senado Federal nºs 1, 2, 4 e 5.";"2313950";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313950"
"2287514-48";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2287514-48";"2022-02-03";"2022-02-03T11:35:03";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64640";"https://dadosabertos.camara.leg.br/api/v2/eventos/64640";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep. Eduardo Cury (PSDB-SP).";"2022-02-03T11:34:31";"Votação da Redação Final.";"";"";"0";""
"2288471-47";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2288471-47";"2022-02-03";"2022-02-03T12:10:58";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64640";"https://dadosabertos.camara.leg.br/api/v2/eventos/64640";"1";"0";"0";"0";"Aprovada a Redação Final, assinada pelo Relator, Dep. Paulo Eduardo Martins (PSC-PR).";"2022-02-03T12:10:46";"Votação da Redação Final.";"";"";"0";""
"2294197-36";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2294197-36";"2022-02-03";"2022-02-03T12:20:05";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64640";"https://dadosabertos.camara.leg.br/api/v2/eventos/64640";"1";"0";"0";"0";"Aprovada a Redação Final assinada pelo Relator, Dep. Reinhold Stephanes Junior (PSD-PR).";"2022-02-03T12:18:35";"Votação da Redação Final.";"";"";"0";""
"2295010-48";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2295010-48";"2022-02-03";"2022-02-03T12:25:40";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64640";"https://dadosabertos.camara.leg.br/api/v2/eventos/64640";"1";"0";"0";"0";"Aprovada a Redação Final, assinada pelo Relator, Dep. Paulo Eduardo Martins (PSC-PR).";"2022-02-03T12:25:24";"Votação da Redação Final.";"";"";"0";""
"2287514-46";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2287514-46";"2022-02-03";"2022-02-03T11:34:19";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64640";"https://dadosabertos.camara.leg.br/api/v2/eventos/64640";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 256, de 2021.";"2022-02-03T11:31:14";"Votação em turno único.";"";"";"0";""
"2288471-45";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2288471-45";"2022-02-03";"2022-02-03T12:09:46";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"64640";"https://dadosabertos.camara.leg.br/api/v2/eventos/64640";"1";"0";"0";"0";"Aprovado o Projeto de Decreto Legislativo nº 271, de 2021.";"2022-02-03T12:05:56";"Votação em turno único.";"";"";"0";""
